,recording_msid,track_metadata.mbid_mapping.recording_mbid,artists,full_artists,full_track_name
91,2f00d272-e51c-4a3a-a565-ba28bc7be260,df3d0c71-042f-4f29-aa8e-c78e375e8c41,Fit for a King,Fit for a King,When Everything Means Nothing - Fit for a King
92,6efe40fe-4dd4-4628-ac4d-a109fc4cf932,7268c6c1-b5e8-4a36-84c1-c6d0919abd79,Vana,Vana,Pray - Vana
93,557dcf1d-73dc-46b6-9ce2-3093db410b0d,ff56c087-262f-4251-838c-41ee04d0f541,Archers,Archers,The Dirt - Archers
94,28ee3925-6712-4f47-9ab1-ce5d0bbbbe63,f43b69cc-4a8f-4798-b20a-6b1ef2230115,The Home Team,The Home Team,Right Through Me - The Home Team
95,c79f14ff-6a71-45b8-b687-46bd58c1f174,ceb83b49-5f4f-459b-91f7-c529916fa63b,PINKNOISE,PINKNOISE,TALK TALK - PINKNOISE
96,a867f261-8f80-494d-965c-16cb1c240e29,77b838e6-642e-4842-8744-d67c1afed6bb,Void of Vision,Void of Vision,Oblivion - Void of Vision
97,7346d249-8f45-4be8-990b-50ca9f7ae615,ab16aae4-3471-4acd-94e8-f48a14366da4,Get Scared,Get Scared,Sarcasm - Get Scared
98,a974897b-4d74-43cd-861f-09f9a8919270,d5ed4ed6-2407-489d-8be0-b861500a915a,Treaty Oak Revival,Treaty Oak Revival,Happy Face - Treaty Oak Revival
99,53661e4e-99ff-4dbd-82bf-104c5e97959d,5d74244a-d193-44e6-a78c-28446abf2904,Spiritbox,Spiritbox,Circle With Me - Spiritbox
100,fe2da7ae-4f79-47ff-b60c-4d753060d1a7,,,,click. - Windwaker / RinRin
101,a0da3740-8288-45a4-a966-fdda15826a8f,7f93991e-b5bf-477a-adfc-81327c0f8409,Treaty Oak Revival,Treaty Oak Revival,Stay Tuned - Treaty Oak Revival
102,1cace21c-5cc0-4d16-beaf-142c5c0feed2,66166291-80a5-41f0-988c-1548ec976cf1,PRESIDENT,PRESIDENT,Fearless - PRESIDENT
103,4886d684-fac0-491a-b896-6e7a2a99c174,4391c5d1-ccdd-431f-9808-a2eab42824d9,Movements,Movements,Daylily - Movements
104,e9e71c59-3706-4e43-b72d-5847556efe76,,,,easy exit - sace6 feat. Rain City Drive
105,c353f0a1-2401-482a-ae08-83e8a6ea05be,f5214968-0cba-41ea-9a49-c303bdd80bdf,Catch Your Breath,Catch Your Breath,Blood Money - Catch Your Breath
106,9a940295-2da0-4bca-af14-8700eaed30a4,b3a8f8ad-e3a5-4603-8f3d-483947ccabfc,Treaty Oak Revival,Treaty Oak Revival  feat.  Gannon Fremin & CCREV ,Withdrawals - Treaty Oak Revival  feat.  Gannon Fremin & CCREV 
106,9a940295-2da0-4bca-af14-8700eaed30a4,b3a8f8ad-e3a5-4603-8f3d-483947ccabfc,Gannon Fremin & CCREV,Treaty Oak Revival  feat.  Gannon Fremin & CCREV ,Withdrawals - Treaty Oak Revival  feat.  Gannon Fremin & CCREV 
107,dc933587-7d7e-471c-8396-c21155ea6179,9fe91458-11d1-4f9b-95c8-6cb0ef5d9cfd,Polaris,Polaris,Dissipate - Polaris
108,23b4ee87-6115-4665-89f4-7d2f6c2db0f2,1f5bb166-f27e-4f92-b0f1-8673af6d837b,VRSTY,VRSTY,Closer - VRSTY
109,53309c52-a535-4ead-a7f7-2e760c067930,3b20d418-eaa6-4bf5-8900-6b01774e31c7,Dance Gavin Dance,Dance Gavin Dance,Death of a Strawberry - Dance Gavin Dance
110,8b7b7817-5bf7-4a35-aa14-3010594f25f5,49e141eb-1e27-442e-bfc7-aac2e5a2c907,Vincent Mason,Vincent Mason,Damned If I Do - Vincent Mason
111,0f8316bf-5217-4d84-a612-c7daaf286904,a77a155a-0e2e-48ee-bfde-58577b5c1b24,Asking Alexandria,Asking Alexandria,I Won’t Give In - Asking Alexandria
112,b4e3d1e4-9527-4103-9a93-6a446453c17a,f9a43bce-ce87-4432-a716-dd09cffec553,Holding Absence,Holding Absence,Gravity - Holding Absence
113,5ab24b51-7bd0-4839-be38-72c1b8627051,1876e15b-75df-4575-b3b3-e4d3a3249c3d,Joji,Joji,PIXELATED KISSES - Joji
114,e339ae80-f857-4d01-ac43-60a46615dee1,5f11046d-d335-4273-9c0f-6a091d84c778,Architects,Architects  feat.  Simon Neil ,Goliath - Architects  feat.  Simon Neil 
114,e339ae80-f857-4d01-ac43-60a46615dee1,5f11046d-d335-4273-9c0f-6a091d84c778,Simon Neil,Architects  feat.  Simon Neil ,Goliath - Architects  feat.  Simon Neil 
115,dd1b6ccb-22cb-487c-a04c-30fbdb48ee6c,ef1ede91-0ac8-48f8-ab8b-811d53332190,Bad Omens,Bad Omens,Nowhere to Go - Bad Omens
116,2839c71f-d3ce-4bbf-92c3-6ba1bc482dd0,a3277434-6c21-43b1-8dac-ac59491a7d9e,Donots,Donots,We Got the Noise - Donots
117,e2895afe-07e9-43e8-9d22-a33ae2b74ed7,58c282fb-8dce-4f23-9f7f-622ddf0ffefc,The Devil Wears Prada,The Devil Wears Prada  feat.  Dayseeker ,Salt - The Devil Wears Prada  feat.  Dayseeker 
117,e2895afe-07e9-43e8-9d22-a33ae2b74ed7,58c282fb-8dce-4f23-9f7f-622ddf0ffefc,Dayseeker,The Devil Wears Prada  feat.  Dayseeker ,Salt - The Devil Wears Prada  feat.  Dayseeker 
118,c5ecd751-7a61-4312-83ca-e7c62a6baf8b,51806185-eda3-4b81-a0e2-8445a4c679d3,Memphis May Fire,Memphis May Fire,Necessary Evil - Memphis May Fire
119,89fb66c2-98fa-447b-afd5-ba1fc1f826fb,f6853a31-c3b7-4026-a590-002b9b067892,GoldLink,GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy ,Crew - GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy 
119,89fb66c2-98fa-447b-afd5-ba1fc1f826fb,f6853a31-c3b7-4026-a590-002b9b067892,Brent Faiyaz,GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy ,Crew - GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy 
119,89fb66c2-98fa-447b-afd5-ba1fc1f826fb,f6853a31-c3b7-4026-a590-002b9b067892,Shy Glizzy,GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy ,Crew - GoldLink  feat.  Brent Faiyaz  &  Shy Glizzy 
120,c46bf3b6-17a6-4ecd-a306-1f8948ed7847,72e4541f-8165-45a6-8983-85e52f2c6479,Grayscale,Grayscale,Dirty Bombs - Grayscale
121,7dba7d29-7f6f-4587-873e-808adc782b63,b6627189-3c4d-4443-898f-aa289edae45b,All Time Low,All Time Low  feat.  blackbear ,Monsters - All Time Low  feat.  blackbear 
121,7dba7d29-7f6f-4587-873e-808adc782b63,b6627189-3c4d-4443-898f-aa289edae45b,blackbear,All Time Low  feat.  blackbear ,Monsters - All Time Low  feat.  blackbear 
122,58d0c43e-be9a-4d29-9654-0369582c3ed9,8d864a42-2ab1-4e42-9932-4c069da48449,Slaves,Slaves,Prayers - Slaves
