,recording_mbid,genres
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,boom bap
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,hip-hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,rap
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,record producer
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,rapper
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,music trade
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,midwestern hip-hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,trap
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,detroit hip hop
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,hip hop
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,gangsta rap
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,mumble rap
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,hip hop
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,contemporary r&b
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,pop soul
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,pop rap
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,soul
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,trap
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,hardcore hip hop
62,11c785f7-9f48-4ce1-9ddd-2235bceddf30,west coast hip hop
